Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Complement,0.5488602083266846,1.5538481862512554,0.004132231404958678,0.03125140392650164,0.221,40/164,7.55%,IRF7;PLSCR1;LAP3;PSMB9;CTSS;HSPA1A;IRF2;CASP1;CTSC;CASP4;PLEK;SERPING1;IRF1;USP15;GNB4;ERAP2;GCA;CASP10;FCN1;APOBEC3G;LYN;DUSP5;LAMP2;LIPA;VCPIP1;JAK2;CASP7;C2;APOBEC3F;GNAI3;DOCK9;CTSL;CALM1;GNG2;CLU;GATA3;CALM3;CD59;CTSO;CCL5
prerank,Adipogenesis,-0.5048724840934677,-1.4950107721118466,0.0,0.05025990052728021,0.173,50/164,15.21%,GPX4;TALDO1;UCP2;ALDOA;CHCHD10;PLIN2;CMPK1;ECH1;TKT;ALDH2;MRPL15;CAT;SUCLG1;CD36;IDH3G;AIFM1;GADD45A;DRAM2;MGST3;HADH;RAB34;IFNGR1;YWHAG;NDUFAB1;COX8A;CDKN2C;UQCRC1;APLP2;CD151;ACAA2;CYC1;CCNG2;GHITM;PPM1B;NDUFA5;DNAJB9;DHRS7;GRPEL1;ETFB;MTCH2;UCK1;TOB1;SCP2;PFKL;DDT;PGM1;NMT1;POR;SAMM50;ELMOD3
prerank,mTORC1 Signaling,-0.48586640615402693,-1.4792834724867525,0.0019230769230769232,0.0479563217531132,0.197,61/188,16.17%,GAPDH;CD9;INSIG1;CORO1A;TPI1;LTA4H;ALDOA;ENO1;LGMN;PRDX1;LDHA;CFP;SLC7A11;PGK1;CALR;BHLHE40;SQSTM1;TUBA4A;PSMD14;DDIT4;HSPA9;SDF2L1;SKAP2;PSMC4;HSPA5;CXCR4;CYP51A1;IDI1;SLC2A3;SEC11A;NFYC;EBP;PPIA;ACTR2;CCT6A;SHMT2;PDAP1;ASNS;CDKN1A;IFRD1;GLA;PNP;MAP2K3;TOMM40;RDH11;TXNRD1;CANX;ETF1;CACYBP;SC5D;RPN1;SERP1;PFKL;ABCF2;TM7SF2;PGM1;NMT1;ATP6V1D;P4HA1;MCM4;COPS5
prerank,Allograft Rejection,0.5029558498470669,1.4493912445863661,0.008438818565400843,0.07358821150995104,0.473,32/177,5.08%,IRF7;CCL2;SOCS1;STAT1;TAP1;GBP2;CTSS;IRF8;HLA-E;CCL4;TAPBP;CD47;CD40;B2M;IGSF6;CD86;FAS;HLA-A;PRF1;LYN;UBE2N;UBE2D1;HIF1A;RIPK2;TLR1;JAK2;CD80;IL15;C2;CCR1;CD247;CCL7
prerank,Epithelial Mesenchymal Transition,-0.5118017548466399,-1.4483302805194704,0.00945179584120983,0.056891415180185236,0.264,19/105,5.45%,GLIPR1;VIM;CD44;LGALS1;VCAN;TIMP1;JUN;FLNA;THBS1;PLAUR;CAPG;TNFRSF12A;QSOX1;EMP3;GADD45A;ID2;TGFBI;PPIB;FUCA1
prerank,TGF-beta Signaling,-0.5669275693871123,-1.4478456733931593,0.02385008517887564,0.0492128192662952,0.266,19/50,18.58%,ID3;ENG;PPP1CA;FKBP1A;THBS1;HDAC1;ID2;RHOA;SKIL;SPTBN1;PMEPA1;CDK9;SMAD7;ARID4B;SKI;TGIF1;TRIM33;IFNGR2;MAP3K7
prerank,IL-6/JAK/STAT3 Signaling,0.550863694871266,1.4356845442180166,0.03862660944206009,0.07472033784087337,0.514,19/76,6.50%,CXCL10;CXCL11;SOCS1;STAT1;CD38;STAT2;IRF9;IRF1;MYD88;FAS;IL15RA;STAT3;HAX1;CCR1;PTPN1;CCL7;PTPN2;SOCS3;ITGA4
prerank,PI3K/AKT/mTOR  Signaling,-0.47201593375571865,-1.3019975952203025,0.06227106227106227,0.21491342881717215,0.787,27/92,12.55%,PFN1;AP2M1;PPP1CA;MAPK1;CDKN1B;PRKAR2A;CALR;IL2RG;SQSTM1;ARPC3;CXCR4;RAC1;THEM4;ACTR2;SMAD2;RPS6KA1;CDKN1A;CSNK2B;GRB2;CDK4;PIN1;MAP2K3;LCK;TNFRSF1A;ATF1;MKNK1;MKNK2
prerank,KRAS Signaling Up,0.4538290151424122,1.2720573784632514,0.09170305676855896,0.2131313585107556,0.875,13/140,5.12%,CXCL10;RABGAP1L;CTSS;GLRX;PSMB8;IRF8;C3AR1;SATB1;JUP;CD37;AKT2;PPBP;EMP1
prerank,Spermatogenesis,-0.47324444091771134,-1.2624560383336019,0.10912343470483005,0.2720084431314378,0.882,17/72,25.43%,TALDO1;PRKAR2A;VDAC3;PHKG2;PEBP1;TSN;IDE;COIL;JAM3;BRAF;CAMK4;STRBP;GSTM3;NF2;MLLT10;SIRT1;GFI1
prerank,Coagulation,-0.4447043641417164,-1.203080016661987,0.15167548500881833,0.39024718596911107,0.966,11/80,5.62%,CD9;LTA4H;CTSH;LGMN;TIMP1;ISCU;SIRT2;THBS1;OLR1;RAC1;FYN
prerank,UV Response Dn,-0.4202169801480885,-1.1965091550158098,0.15267175572519084,0.3712379016219561,0.971,43/107,33.83%,INSIG1;CDKN1B;BHLHE40;FYN;CITED2;ATXN1;DUSP1;NEK7;MTA1;SIPA1L1;CDK13;NFKB1;SMAD7;NIPBL;IGF1R;SDC2;TGFBR2;RXRA;ATP2C1;DAB2;PIK3CD;MAP2K5;ATRX;YTHDC1;ANXA2;ZMIZ1;AKT3;MAPK14;MGMT;SLC22A18;BMPR1A;MIOS;NR3C1;SCAF8;DYRK1A;PEX14;SMAD3;AGGF1;FBLN5;PTEN;PRDM2;ATP2B1;ABCC1
prerank,Pperoxisome,-0.4362588305136761,-1.185852990681267,0.16512059369202226,0.3663911845730028,0.981,23/83,13.81%,PRDX5;ECH1;PRDX1;CAT;ALDH9A1;YWHAH;CLN8;FDPS;IDI1;PEX13;TSPO;ATXN1;FIS1;PABPC1;BCL10;IDE;RDH11;ABCD3;CLN6;ACAA1;ERCC1;SCP2;ESR2
prerank,Estrogen Response Late,0.42526374699655767,1.1837453870514973,0.1885593220338983,0.32823801608338204,0.971,13/133,4.23%,ISG20;BAG1;MDK;SNX10;CKB;IDH2;RAB31;XBP1;DUSP2;IGFBP4;PDCD4;FKBP5;JAK2
prerank,E2F Targets,-0.37632650266127077,-1.1393703012914977,0.19813084112149532,0.46055466540863493,0.997,51/182,22.21%,STMN1;SMC4;CDKN1B;HMGA1;PA2G4;GSPT1;PRPS1;MCM3;ASF1A;MMS22L;NAP1L1;POLD2;CDKN2C;SLBP;RBBP7;SRSF1;PRKDC;CDKN1A;EXOSC8;XRCC6;CDK4;HMGB2;TUBB;DUT;SNRPB;LBR;TRA2B;SMC3;ILF3;MCM7;ANP32E;SRSF2;KIF22;EED;XPO1;MCM4;TP53;MCM6;ATAD2;CCP110;EIF2S1;TACC3;NOP56;RAD51C;RFC1;HMGB3;CHEK1;HNRNPD;NME1;ING3;BRMS1L
prerank,DNA Repair,-0.3839096812644959,-1.1305110342900144,0.18738404452690166,0.4522643132268801,0.997,44/142,16.81%,GPX4;POLR2E;POLR2F;IMPDH2;NELFCD;SUPT5H;ARL6IP1;EDF1;RALA;SF3A3;POLD4;SRSF6;POLR2I;TAF12;VPS28;DGUOK;POLR2J;POLR3GL;XPC;ERCC5;MPG;RNMT;HCLS1;ADA;PNP;NME3;ZNF707;DUT;TAF6;DAD1;POLR2G;RAE1;PRIM1;NT5C;ERCC1;APRT;ITPA;POLB;NFX1;MRPL40;POLR2H;MPC2;TP53;SURF1
prerank,Glycolysis,-0.37932838604529384,-1.1257896193642136,0.21014492753623187,0.4346783341435748,0.998,38/152,12.79%,CD44;PKM;TALDO1;VCAN;TPI1;ALDOA;ENO1;STMN1;IER3;SLC16A3;LDHA;MDH1;PGK1;QSOX1;ALDH9A1;DDIT4;POLR3K;HDLBP;PRPS1;FAM162A;PSMC4;TGFBI;HSPA5;CXCR4;CITED2;IL13RA1;PPIA;PGAM1;CHPF2;TPST1;SLC35A3;MPI;B3GAT3;ANKZF1;CLN6;SRD5A3;MIF;PGM2
prerank,Apical Junction,-0.39202213665019964,-1.1250325485880726,0.21372549019607842,0.40927788788751357,0.998,27/121,16.43%,ACTB;PFN1;INSIG1;VCAN;ZYX;ACTG1;HADH;YWHAH;SKAP2;TGFBI;RHOF;SYK;CAP1;MYH9;ARHGEF6;ARPC2;TIAL1;CNN2;STX4;MADCAM1;JAM3;CD99;RSU1;ACTN4;MAP4K2;VASP;ACTN1
prerank,Mitotic Spindle,-0.3655031528595056,-1.1129838464720645,0.21388367729831145,0.4153832955342864,1.0,66/182,28.50%,SMC4;FLNA;RHOT2;EZR;CAPZB;KLC1;TUBA4A;BIN1;RHOF;MYO9B;RALBP1;CEP250;MYH9;HOOK3;CCDC88A;MID1IP1;TUBGCP2;ALS2;SUN2;NUMA1;SPTBN1;KIF5B;KIF1B;SMC3;PREX1;AKAP13;ARFIP2;KIF22;PAFAH1B1;DYNC1H1;ACTN4;NEDD9;NIN;PRC1;SPTAN1;TRIO;KIF20B;SSH2;PXN;CSNK1D;ARHGAP10;CEP57;GSN;RFC1;LRPPRC;TBCD;KIFAP3;VCL;MAP1S;CEP72;BCL2L11;CKAP5;STK38L;TOP2A;PALLD;YWHAE;EPB41;TUBD1;ARHGDIA;GEMIN4;ARHGEF7;MARK4;TUBGCP5;CEP192;WASF2;MYO1E
prerank,Myogenesis,-0.38465593554646593,-1.1035679486135055,0.24584103512014788,0.41452783698773,1.0,17/112,9.67%,HDAC5;LSP1;PDLIM7;SIRT2;BHLHE40;CD36;BIN1;FDPS;ATP6AP1;ABLIM1;EIF4A2;GABARAPL2;MYH9;CDKN1A;IFRD1;PKIA;SPHK1
prerank,Hypoxia,-0.36978332638091305,-1.0916787756878588,0.2659380692167577,0.4209817764560235,1.0,32/146,7.55%,GAPDH;PRDX5;S100A4;TPI1;ALDOA;ENO1;IER3;PLIN2;JUN;PIM1;LDHA;PLAUR;CDKN1B;FOS;TPST2;PGK1;BHLHE40;RORA;DDIT4;HDLBP;IDS;FAM162A;TGFBI;HSPA5;CXCR4;SLC2A3;CITED2;KDM3A;DUSP1;MYH9;CCNG2;CDKN1A
prerank,Unfolded Protein Response,0.395058358513746,1.0769168512476568,0.3326226012793177,0.5159157747773588,0.998,16/103,6.65%,IFIT1;CCL2;MTHFD2;ATF3;EXOC2;XBP1;CKS1B;DCP1A;EXOSC9;DKC1;SPCS3;CNOT2;PAIP1;SEC31A;NABP1;SRPRB
prerank,heme Metabolism,-0.350262105361471,-1.051706239747004,0.3383177570093458,0.49642122583299053,1.0,53/159,22.17%,UCP2;RAD23A;FBXO9;SLC7A11;CAT;NNT;NARF;MGST3;BSG;RBM5;ACP5;ACSL6;RBM38;PICALM;ATG4A;SEC14L1;KDM7A;ARL2BP;NEK7;UBAC1;ISCA1;ASNS;CCDC28A;PRDX2;BNIP3L;HAGH;MAP2K3;UROD;EIF2AK1;SLC25A37;SNCA;BPGM;BACH1;DCAF10;NUDT4;CROCCP2;HDGF;AQP3;FBXO34;TFDP2;TNS1;GCLM;HEBP1;HTATIP2;TCEA1;PSMD9;BLVRB;UROS;DCUN1D1;LRP10;SDCBP;EZH1;MPP1
prerank,Fatty Acid Metabolism,-0.345882063864482,-1.0126575640257196,0.39543726235741444,0.5743490021564888,1.0,29/129,11.43%,LGALS1;ALDOA;ECH1;GABARAPL1;LDHA;S100A10;IDH3B;MDH1;ACADVL;SUCLG1;CD36;IDH3G;ALDH9A1;ODC1;HADH;G0S2;YWHAH;SDHD;IDI1;ACAA2;SUCLA2;ACAT2;PPARA;RDH11;UROD;PDHB;HSD17B10;PTS;HADHB
prerank,Xenobiotic Metabolism,0.34283175672266014,0.9704020316629776,0.5205183585313174,0.7410036389774923,1.0,19/140,8.41%,MT2A;IRF8;CBR1;CNDP2;GCH1;LPIN2;FAS;IGFBP4;JUP;AQP9;SSR3;TMBIM6;ACSM1;SERTAD1;GCNT2;DCXR;GART;ETS2;ARPP19
prerank,G2-M Checkpoint,0.33161330902352065,0.9636192770374794,0.5210970464135021,0.7088368749719214,1.0,20/172,6.68%,MT2A;PML;HSPA8;KPNB1;MARCKS;ATF5;CKS1B;LMNB1;HIF1A;BRCA2;TOP1;PRPF4B;EWSR1;DKC1;CUL1;NASP;MYC;SMC1A;NDC80;CUL4A
prerank,Cholesterol Homeostasis,-0.36199800308865476,-0.9594138089691248,0.5441441441441441,0.6904549024140663,1.0,18/64,13.16%,CD9;LGALS3;LGMN;ECH1;ACTG1;PLAUR;TNFRSF12A;FDPS;CYP51A1;IDI1;EBP;ANXA5;ACAT2;CXCL16;ALCAM;FABP5;SC5D;STX5
prerank,Reactive Oxygen Species Pathway,-0.3856875596886622,-0.9566783400926122,0.5582191780821918,0.6670818137918813,1.0,13/46,11.12%,FTL;GPX4;LSP1;PRDX1;CAT;MGST1;STK25;HHEX;MBP;PRDX2;NDUFA6;TXNRD1;TXNRD2
prerank,UV Response Up,0.33144354091824973,0.9314246915509339,0.5808510638297872,0.7451396064513232,1.0,15/131,6.15%,TAP1;DNAJA1;SOD2;CNP;GCH1;HLA-F;IRF1;ATF3;MGAT1;LYN;DDX21;BID;TMBIM6;GLS;CDKN1C
prerank,p53 Pathway,-0.3002969312861603,-0.9061910511067771,0.6705426356589147,0.7751891602158981,1.0,48/168,17.85%,S100A4;IER3;ZFP36L1;JUN;S100A10;ISCU;LDHB;SLC7A11;FOS;VAMP8;GADD45A;DDIT4;UPP1;BLCAP;RPS27L;CD82;TAX1BP3;RPL18;FAM162A;FUCA1;XPC;DEF6;CEBPA;CDKN1A;PITPNC1;ERCC5;RHBDF2;ADA;SPHK1;TPRKB;CYFIP2;WRAP73;BAX;MKNK2;RALGDS;CDKN2B;TOB1;HDAC3;TRIAP1;CDKN2AIP;PROCR;FBXW7;DNTTIP2;TP53;RXRA;CTSF;PMM1;CCP110
prerank,Androgen Response,0.3448313149241011,0.9003340727778676,0.6244019138755981,0.7834980166647728,1.0,9/84,5.60%,SAT1;MYL12A;B2M;TMEM50A;LMAN1;FKBP5;SPCS3;IQGAP2;GNAI3
prerank,Bile Acid Metabolism,-0.3290449896287332,-0.892178973022225,0.6642984014209592,0.7812482704461313,1.0,21/73,23.10%,PRDX5;CAT;ALDH9A1;IDI1;PEX13;ABCA5;ATXN1;PXMP2;PEX19;LCK;ABCD3;SCP2;GCLM;CYP27A1;FADS1;RXRA;PEX1;HSD17B11;HACL1;SOD1;PEX6
prerank,Hedgehog Signaling,0.4138879063283191,0.880965970680339,0.6223404255319149,0.7871422795273822,1.0,1/20,1.22%,PML
prerank,Myc Targets V2,-0.33493739635296965,-0.86724173902925,0.7170474516695958,0.8114074325509949,1.0,17/58,21.03%,PA2G4;DDX18;PHB;MPHOSPH10;FARSA;NPM1;CDK4;PRMT3;GNL3;WDR43;MCM4;LAS1L;RABEPK;NOP56;WDR74;MAP3K6;NOP2
prerank,Protein Secretion,-0.2790253524889443,-0.7756085928010175,0.8916967509025271,0.95280516670891,1.0,15/89,12.35%,AP2M1;MAPK1;ATP1A1;AP2S1;CD63;VAMP4;NAPG;ERGIC3;CLTA;GLA;PPT1;TMED10;KIF1B;GOSR2;ANP32E
prerank,Estrogen Response Early,0.27620998746031533,0.7593721113305809,0.9037199124726477,1.0,1.0,18/131,10.74%,BAG1;ELF1;PMAIP1;RAB31;XBP1;IGFBP4;FKBP5;TIPARP;JAK2;MYC;ENDOD1;MICB;IL6ST;KLF10;RBBP8;NRIP1;SLC7A5;INPP5F
prerank,Wnt-beta Catenin Signaling,-0.31880870397684546,-0.7456968047186765,0.8566666666666667,0.9495157249167945,1.0,5/34,18.11%,HDAC5;NUMB;RBPJ;TP53;ADAM17
prerank,Apical Surface,0.32599904841833727,0.7152566702448396,0.8308457711442786,1.0,1.0,6/27,13.23%,HSPB1;LYN;GATA3;AKAP7;MAL;APP
prerank,Notch Signaling,0.29998892236286917,0.6662409228747392,0.9034653465346535,0.9805921200413316,1.0,7/28,15.87%,RBX1;TCF7L2;CUL1;KAT2A;DTX2;MAML2;DLL1
